ID,CODIGO_VENTA,MATERIAL,CICLO,SUBCICLO,FECHA_CAPTACION,TIPO,UNIDADES,VENTA ONLINE,COD_LINEA_SEPARACION,LINEA_SEPARACION,COD_CANAL_DISTRIBUCION,CANAL_DISTRIBUCION
16b0b239fa736d2d97f568c661e15c47,87469,50264294,202115,,2021-10-25,Venta com Descuento,72,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
16b0e19ea2b4e32fd6597b2701e76807,51875,50259298,202115,,2021-10-25,Venta Normal,1,No,,,3,Plaza
16b250ef73391427334ad913350daf0d,70409,50328894,202114b,2o SubCiclo,2021-10-26,Venta Normal,14,No,,,3,Plaza
16b65eda8d28c995f95e031108f63b48,92573,50264635,202115,,2021-10-26,Venta com Descuento,1,Sí,,,3,Plaza
16b92511e5f3ee9bed2b2801aaf84ab3,82546,50294444,202114b,2o SubCiclo,2021-10-25,Reclamo,1,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
16cf14a42e6eae840a0f775d8fa5bac4,15825,50322640,202114b,2o SubCiclo,2021-10-26,Venta Normal,41,No,,,3,Plaza
16dce6debb21180f654a6fba2a3a3f98,2821,50267816,202114b,2o SubCiclo,2021-10-25,Venta Normal,7,No,,,3,Plaza
16df425748084fa0f5c7d71e71d9a2f1,109792,50330416,202114b,2o SubCiclo,2021-10-26,Venta com Descuento,3,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
16e0798f8547007b3bbdd99500a9411f,2835,50277147,202115,,2021-10-25,Venta com Descuento,9,Sí,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
16e9c969e3fe9e417c39a5b80aced714,72998,50343143,202114b,2o SubCiclo,2021-10-26,Venta Normal,6,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
16ecad967458731dc031a12634d2dfa9,90927,50259159,202114b,2o SubCiclo,2021-10-26,Venta Normal,2,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
16edefbf7cbe8a941a206a0fee0cf437,69843,50270830,202115,,2021-10-25,Venta Normal,12,No,,,3,Plaza
16f5116d9a59a7d95c421d3e9aaa81e7,56747,50178295,202115,,2021-10-25,Regalo,2,No,7.0,Knapp PTL,3,Plaza
170518f0b757daac74871f1e9ced18f5,15919,50311135,202114b,2o SubCiclo,2021-10-25,Venta com Descuento,7,No,,,3,Plaza
1708c134a1e6d0ca1aee66786f64c752,92604,50264632,202114b,2o SubCiclo,2021-10-26,Reclamo,1,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
170b056ed826e1bdd687881b8e8fcb24,21310,50327006,202115,,2021-10-25,Venta com Descuento,1,Sí,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
171814c91af67a8e5fc12cf0959f5a11,43081,50206563,202115,,2021-10-26,Venta Normal,96,No,,,3,Plaza
1719a89afd9b71901de67a01147f766e,84588,50295163,202114b,2o SubCiclo,2021-10-25,Venta Normal,2,No,7.0,Knapp PTL,3,Plaza
173226ecbf865afa16fd3f71cfbc49b7,70390,50270985,202114b,2o SubCiclo,2021-10-25,Venta Normal,9,No,,,3,Plaza
1732c302c57cdb4d038743839c40f13c,75241,50277013,202115,,2021-10-25,Venta Normal,1,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1742bbf2d40f69093317064196ed059d,74071,50283632,202115,,2021-10-25,Venta Normal,1,Sí,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1745ff9895292d66c48d0cead216cf2c,93269,50265483,202115,,2021-10-25,Regalo,1,No,7.0,Knapp PTL,3,Plaza
174a0af2d69f8f144a8644bcad8d4dd5,22624,50328141,202115,,2021-10-26,Venta Normal,14,No,,,3,Plaza
174bd3a56d7d87082e1898597d250040,4953,50316365,202115,,2021-10-26,Venta Normal,1,No,,,3,Plaza
17522a7274053dad7b1afc827376163a,64750,50308643,202114b,2o SubCiclo,2021-10-25,Venta Normal,3,No,,,3,Plaza
175a090e69ada454843d13db67866d3c,9483,50316510,202114b,2o SubCiclo,2021-10-25,Venta Normal,16,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
175ebf59ced137dff8d60639f877d66a,94684,50300845,202114b,2o SubCiclo,2021-10-25,Venta Normal,13,No,,,3,Plaza
1760360a92ddb81e2e13fe25aceeb98a,19904,50311531,202114b,2o SubCiclo,2021-10-26,Venta Normal,24,No,,,3,Plaza
176a374db071a7cc28edf5f7ce13db00,80969,50326101,202115,,2021-10-26,Venta Normal,1,No,,,3,Plaza
176b2660d7eba426993a6cb6efed69fb,48091,50208385,202115,,2021-10-25,Venta com Descuento,1,Sí,7.0,Knapp PTL,3,Plaza
177b64a6d08f5ffae15468255b641055,51881,50208387,202114b,2o SubCiclo,2021-10-26,Venta Normal,9,No,,,3,Plaza
1789e7461d3f0a4ef2eac5535362b533,95782,50303309,202115,,2021-10-25,Venta Normal,1,No,,,3,Plaza
178f7374148e25c18af15317d5100f7c,3311,50259167,202115,,2021-10-25,Venta Normal,5,No,,,3,Plaza
1797140a15eb5937cabfe422139e3b5e,51876,50173511,202114b,2o SubCiclo,2021-10-25,Venta Normal,431,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1798064059e47c1053655701c930b16c,94684,50300845,202114b,2o SubCiclo,2021-10-26,Venta Normal,2,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
1798cfaecd5d1b4e4602e763ba86d25e,110896,50311534,202115,,2021-10-26,Venta Normal,14,No,,,3,Plaza
17b2affd2a402386c500c5bd01aa609b,9483,50316510,202115,,2021-10-26,Venta Normal,4,No,,,3,Plaza
17bd0ec97df47bff14bccae2993ad681,69723,50269458,202114b,2o SubCiclo,2021-10-25,Venta Normal,2,No,,,3,Plaza
17bd9fdc623a0358a7e61640287e0d54,109795,50302773,202115,,2021-10-25,Venta com Descuento,1,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
17c0a2b61f9d8aff33a1687cb7ff7ff3,88358,50298173,202114b,2o SubCiclo,2021-10-25,Venta Normal,11,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
17c16e7d5d3b8a9011f176a70ba15c2f,92815,50264878,202114b,2o SubCiclo,2021-10-26,Venta Normal,4,No,,,3,Plaza
17c774ab1436dc09d684b90db0cd0b06,43259,50219187,202115,,2021-10-25,Venta Normal,14,No,,,3,Plaza
17da27d4b8ac8efb2e607d7ae36d5e5c,16507,50323198,202114b,2o SubCiclo,2021-10-25,Venta Normal,11,No,6.0,Knapp – Abastecimiento e balanzas automáticas,3,Plaza
17ea01c1cb13b5c327622afe67efd43f,1921,50320918,202115,,2021-10-26,Venta com Descuento,5,Sí,,,3,Plaza
17f00f260468c48c442b23bbc772dad7,86022,50295992,202115,,2021-10-25,Venta Normal,19,No,,,3,Plaza
17f17502fdf41db5f3c9d8d9b573c2c2,85003,50236136,202115,,2021-10-25,Regalo,212,No,,,3,Plaza
